_id,ltable.id,rtable.id,table.ENTRYTYPE,ltable.author,ltable.title,ltable.year,rtable.ENTRYTYPE,rtable.author,rtable.title,rtable.year,label
103173,161,1820,inproceedings,Xu Yu and Nobuo Ohbo and Hiroyuki Kitagawa and Yuzuru Fujiwara,"Integration of Functional Data Model into Programming Environment:
Application to Solid Database",1989,article,"Gao, Jun and Zhou, Jiashuai and Yu, Jeffrey Xu and Wang, Tengjiao",Shortest path computing in relational dbmss,2014.0,0
1031766,2188,2335,inproceedings,"Jens Nilsson and
Fei Sha and
Michael I. Jordan",Regression on manifolds using kernel dimension reduction,2007,inproceedings,"Nilsson, Jens and Sha, Fei and Jordan, Michael I",Regression on manifolds using kernel dimension reduction,2007.0,1
1033948,2191,2085,inproceedings,"David M. Blei and
Thomas L. Griffiths and
Michael I. Jordan and
Joshua B. Tenenbaum",Hierarchical Topic Models and the Nested Chinese Restaurant Process,2003,article,"Griffiths, DMBTL and Tenenbaum, MIJJB",Hierarchical topic models and the nested Chinese restaurant process,2004.0,0
1036141,2194,2173,inproceedings,"Ben Liblit and
Mayur Naik and
Alice X. Zheng and
Alexander Aiken and
Michael I. Jordan",Scalable statistical bug isolation,2005,inproceedings,"Liblit, Ben and Naik, Mayur and Zheng, Alice X and Aiken, Alex and Jordan, Michael I",Scalable statistical bug isolation,2005.0,1
1040288,2201,75,article,"Zhihua Zhang and
Dehua Liu and
Guang Dai and
Michael I. Jordan","Coherence functions with applications in large-margin classification
methods",2012,inproceedings,"Wick, Michael L and Rohanimanesh, Khashayar and McCallum, Andrew and Doan, AnHai",A Discriminative Approach to Ontology Mapping.,2008.0,0
1044108,2206,2246,article,"Brian Kulis and
Michael I. Jordan",Revisiting k-means: New Algorithms via Bayesian Nonparametrics,2011,article,"Kulis, Brian and Jordan, Michael I",Revisiting k-means: New algorithms via Bayesian nonparametrics,2011.0,1
104433,162,1885,article,"Ying Zhang and
Xuemin Lin and Yidong Yuan and Masaru Kitsuregawa and Xiaofang Zhou and Jeffrey Xu Yu",Duplicate-Insensitive Order Statistics Computation over Data Streams,2010,article,"Zhang, Ying and Lin, Xuemin and Yuan, Yidong and Kitsuregawa, Masaru and Zhou, Xiaofang and Yu, Jeffrey Xu",Duplicate-insensitive order statistics computation over data streams,2010.0,1
1046315,2210,450,article,"Gert R. G. Lanckriet and
Tijl De Bie and
Nello Cristianini and
Michael I. Jordan and
William Stafford Noble",A statistical framework for genomic data fusion,2004,article,"Bhatti, Rafae and Bertino, Elisa and Ghafoor, Arif and Joshi, James BD",XML-based specification for Web services document security,2004.0,0
1051660,2217,2313,inproceedings,"Gert R. G. Lanckriet and
Minghua Deng and
Nello Cristianini and
Michael I. Jordan and
William Stafford Noble","Kernel-Based Data Fusion and Its Application to Protein Function Prediction
in Yeast",2004,article,"Mackey, Lester and Jordan, Michael I and Chen, Richard Y and Farrell, Brendan and Tropp, Joel A and others",Matrix concentration inequalities via the method of exchangeable pairs,2014.0,0
1052830,2219,2317,inproceedings,"John C. Duchi and
Lester W. Mackey and
Michael I. Jordan",On the Consistency of Ranking Algorithms,2010,inproceedings,"Duchi, John C and Mackey, Lester W and Jordan, Michael I",On the consistency of ranking algorithms,2010.0,1
1062581,2234,2221,article,"Emily B. Fox and
Erik B. Sudderth and
Michael I. Jordan and
Alan S. Willsky",Bayesian Nonparametric Inference of Switching Dynamic Linear Models,2011,article,"Fox, Emily and Sudderth, Erik and Jordan, Michael and Willsky, Alan",Bayesian nonparametric inference of switching dynamic linear models,2011.0,1
1063671,2235,2262,inproceedings,"Ling Huang and
XuanLong Nguyen and
Minos N. Garofalakis and
Michael I. Jordan and
Anthony D. Joseph and
Nina Taft",In-Network {PCA} and Anomaly Detection,2006,inproceedings,"Bach, Francis R and Jordan, Michael I",Learning graphical models with Mercer kernels,2002.0,0
1066806,2240,86,article,"Francis R. Bach and
Michael I. Jordan",Learning graphical models for stationary time series,2004,inproceedings,"Amer-Yahia, Sihem and Doan, AnHai and Kleinberg, Jon and Koudas, Nick and Franklin, Michael","Crowds, clouds, and algorithms: exploring the human side of big data applications",2010.0,0
1067524,2241,527,inproceedings,"Wei Xu and
Ling Huang and
Armando Fox and
David A. Patterson and
Michael I. Jordan",Online System Problem Detection by Mining Patterns of Console Logs,2009,inproceedings,"Ni, Qun and Bertino, Elisa and Lobo, Jorge",D-algebra for composing access control policy decisions,2009.0,0
1067707,2241,1611,inproceedings,"Wei Xu and
Ling Huang and
Armando Fox and
David A. Patterson and
Michael I. Jordan",Online System Problem Detection by Mining Patterns of Console Logs,2009,inproceedings,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Yu, Philip S and Lu, Hongjun",Parameter free bursty events detection in text streams,2005.0,0
107018,164,2387,inproceedings,"Hong{-}Cheu Liu and
Jeffrey Xu Yu",Safe Database Queries with External Functions,1999,incollection,"Yin, Xiaoxin and Han, Jiawei and Yang, Jiong and Philip, S Yu",Crossmine: Efficient classification across multiple database relations,2006.0,0
1070509,2245,2208,inproceedings,"Jyri J. Kivinen and
Erik B. Sudderth and
Michael I. Jordan","Learning Multiscale Representations of Natural Scenes Using Dirichlet
Processes",2007,inproceedings,"Kivinen, Jyri J and Sudderth, Erik B and Jordan, Michael and others",Learning multiscale representations of natural scenes using Dirichlet processes,2007.0,1
1073745,2249,2297,inproceedings,"Aleksandr Simma and
Michael I. Jordan",Modeling Events with Cascades of Poisson Processes,2010,article,"Simma, Aleksandr and Jordan, Michael I",Modeling events with cascades of Poisson processes,2012.0,0
1076365,2254,2038,inproceedings,"John C. Duchi and
Michael I. Jordan and
Martin J. Wainwright",Local Privacy and Statistical Minimax Rates,2013,article,"Liang, W and Yu, J",PP. 26.24: THE EFFICIENCY AND SAFETY OF RENAL SYMPATHETIC DENERVATION FOR RESISTANT HYPERTENSION: A META ANALYSIS.,2015.0,0
1077431,2255,2341,inproceedings,"Martin J. Wainwright and
Michael I. Jordan","Semidefinite Relaxations for Approximate Inference on Graphs with
Cycles",2003,inproceedings,"Wainwright, Martin J and Jordan, Michael I",Semidefinite relaxations for approximate inference on graphs with cycles,2003.0,1
1082468,2263,2092,article,"Tommi S. Jaakkola and
Michael I. Jordan and
Satinder P. Singh",On the Convergence of Stochastic Iterative Dynamic Programming Algorithms,1994,inproceedings,"Jacobs, Robert A and Jordan, Michael I",A competitive modular connectionist architecture,1991.0,0
1086084,2268,2176,inproceedings,"Eric P. Xing and
Michael I. Jordan and
Stuart J. Russell","A generalized mean field algorithm for variational inference in exponential
families",2003,article,"Desmurget, Michel and Jordan, Michael and Prablanc, Claude and Jeannerod, Marc",Constrained and unconstrained movements involve different control strategies,1997.0,0
1088623,2272,2361,inproceedings,"Sriram Sankararaman and
Gad Kimmel and
Eran Halperin and
Michael I. Jordan",On the Inference of Ancestries in Admixed Populations,2008,article,"Sankararaman, Sriram and Kimmel, Gad and Halperin, Eran and Jordan, Michael I",On the inference of ancestries in admixed populations,2008.0,0
1088706,2272,3091,inproceedings,"Sriram Sankararaman and
Gad Kimmel and
Eran Halperin and
Michael I. Jordan",On the Inference of Ancestries in Admixed Populations,2008,inproceedings,"Weiss, Zev and Subramanian, Sriram and Sundararaman, Swaminathan and Talagala, Nisha and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",ANViL: advanced virtualization for modern non-volatile memory devices,2015.0,0
1091619,2277,2273,article,"Michael I. Jordan and
Terrence J. Sejnowski",Graphical Models: Foundations of Neural Computation,2002,book,"Jordan, Michael Irwin",Graphical models: Foundations of neural computation,2001.0,0
1100666,2291,153,article,"XuanLong Nguyen and
Michael I. Jordan and
Bruno Sinopoli",A kernel-based learning approach to ad hoc sensor network localization,2005,inproceedings,"Culotta, Aron and McCallum, Andrew",Joint deduplication of multiple record types in relational data,2005.0,0
1103542,2295,1855,inproceedings,"John William Paisley and
David M. Blei and
Michael I. Jordan",Variational Bayesian Inference with Stochastic Search,2012,article,"Gao, Jun and Yu, Jeffrey Xu and Qiu, Huida and Jiang, Xiao and Wang, Tengjiao and Yang, Dongqing",Holistic top-k simple shortest path join in graphs,2012.0,0
110376,167,1842,inproceedings,"Weiguo Zheng and
Lei Zou and Xiang Lian and Jeffrey Xu Yu and Shaoxu Song and Dongyan Zhao","How to Build Templates for {RDF} Question/Answering: An Uncertain
Graph Similarity Join Approach",2015,article,"Yu, JX and Bian, XH and Yu, Y and Wang, YG",Full-scale collapse test and numerical simulation of deepwater pipeline,2012.0,0
1103856,2295,2371,inproceedings,"John William Paisley and
David M. Blei and
Michael I. Jordan",Variational Bayesian Inference with Stochastic Search,2012,article,"Paisley, John and Blei, David and Jordan, Michael",Variational Bayesian inference with stochastic search,2012.0,0
1109193,2302,2453,article,"Lawrence K. Saul and
Tommi S. Jaakkola and
Michael I. Jordan",Mean Field Theory for Sigmoid Belief Networks,1996,inproceedings,"Aggarwal, Charu C and Han, Jiawei and Wang, Jianyong and Yu, Philip S",A framework for clustering evolving data streams,2003.0,0
1112030,2306,2340,inproceedings,"Michael I. Jordan and
David E. Rumelhart",Internal World Models and Supervised Learning,1991,article,"Jordan, Michael I and Rumelhart, DE",Internal world models and supervised learning,2014.0,0
1114449,2310,1598,inproceedings,"L. R. Grate and
Chiranjib Bhattacharyya and
Michael I. Jordan and
I. Saira Mian","Simultaneous Relevant Feature Identification and Classification in
High-Dimensional Spaces",2002,inproceedings,"Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",XParent: An efficient RDBMS-based XML database system,2002.0,0
1115979,2312,2217,inproceedings,"Chris H. Q. Ding and
Tao Li and
Michael I. Jordan","Nonnegative Matrix Factorization for Combinatorial Optimization: Spectral
Clustering, Graph Matching, and Clique Finding",2008,inproceedings,"Ding, Chris and Li, Tao and Jordan, Michael and others","Nonnegative matrix factorization for combinatorial optimization: Spectral clustering, graph matching, and clique finding",2008.0,1
1119056,2316,2184,inproceedings,"Percy Liang and
Michael I. Jordan and
Benjamin Taskar",A permutation-augmented sampler for {DP} mixture models,2007,article,"Bach, Francis R and Jordan, Michael I",Beyond independent components: trees and clusters,2003.0,0
1119630,2317,2185,inproceedings,"Neil D. Lawrence and
Michael I. Jordan",Semi-supervised Learning via Gaussian Processes,2004,inproceedings,"Lawrence, Neil D and Jordan, Michael I",Semi-supervised learning via Gaussian processes,2004.0,1
1120302,2318,2304,inproceedings,"Purnamrita Sarkar and
Deepayan Chakrabarti and
Michael I. Jordan",Nonparametric Link Prediction in Dynamic Networks,2012,article,"Sarkar, Purnamrita and Chakrabarti, Deepayan and Jordan, Michael",Nonparametric link prediction in dynamic networks,2012.0,0
1122885,2322,2284,inproceedings,"Lester W. Mackey and
David J. Weiss and
Michael I. Jordan",Mixed Membership Matrix Factorization,2010,inproceedings,"Nguyen, XuanLong and Wainwright, Martin J and Jordan, Michael I",Estimating divergence functionals and the likelihood ratio by penalized convex risk minimization.,2007.0,0
1126250,2326,2776,inproceedings,"Christopher M. Bishop and
Neil D. Lawrence and
Tommi S. Jaakkola and
Michael I. Jordan",Approximating Posterior Distributions in Belief Networks Using Mixtures,1997,inproceedings,"Li, Xin and Liu, Bing and Philip, S Yu",Mining Community Structure of Named Entities from Web Pages and Blogs.,2006.0,0
1129391,2330,2135,article,"Daniel Crankshaw and
Peter Bailis and
Joseph E. Gonzalez and
Haoyuan Li and
Zhao Zhang and
Michael J. Franklin and
Ali Ghodsi and
Michael I. Jordan","The Missing Piece in Complex Analytics: Low Latency, Scalable Model
Management and Serving with Velox",2014,article,"Saul, Lawrence K and Jordan, Michael I",Mixed memory markov models: Decomposing complex stochastic processes as mixtures of simpler ones,1999.0,0
1134704,2338,2139,inproceedings,"Xinghao Pan and
Stefanie Jegelka and
Joseph E. Gonzalez and
Joseph K. Bradley and
Michael I. Jordan",Parallel Double Greedy Submodular Maximization,2014,inproceedings,"Lacoste-Julien, Simon and Sha, Fei and Jordan, Michael I",DiscLDA: Discriminative learning for dimensionality reduction and classification,2009.0,0
1135945,2340,2106,article,"Gert R. G. Lanckriet and
Nello Cristianini and
Peter L. Bartlett and
Laurent El Ghaoui and
Michael I. Jordan",Learning the Kernel Matrix with Semidefinite Programming,2004,article,"Lanckriet, Gert RG and Cristianini, Nello and Bartlett, Peter and Ghaoui, Laurent El and Jordan, Michael I",Learning the kernel matrix with semidefinite programming,2004.0,1
1136033,2340,2197,article,"Gert R. G. Lanckriet and
Nello Cristianini and
Peter L. Bartlett and
Laurent El Ghaoui and
Michael I. Jordan",Learning the Kernel Matrix with Semidefinite Programming,2004,inproceedings,"Mackey, Lester W and Jordan, Michael I and Talwalkar, Ameet",Divide-and-conquer matrix factorization,2011.0,0
1137057,2342,747,inproceedings,Michael I. Jordan,Combinatorial stochastic processes and nonparametric Bayesian modeling,2009,article,"Nehme, Rimma V and Rundensteiner, Elke A and Bertino, Elisa",Tagging stream data for rich real-time services,2009.0,0
1139538,2350,2441,article,"Jennifer Pittman and
Jerome Sacks and
S. Stanley Young","The Construction and Assessment of a Statistical Model for the Prediction
of Protein Assay Data",2002,inproceedings,"Yan, Xifeng and Yu, Philip S and Han, Jiawei",Substructure similarity search in graph databases,2005.0,0
1142512,2365,1639,incollection,"Victoria Y. Yoon and
Peter Aiken and
Tor Guimaraes",Applying a Metadata Framework to Improve Data Quality,2005,article,"Cheung, Ching-Fung and Yu, Jeffrey Xu and Lu, Hongjun",Constructing suffix tree for gigabyte sequences with megabyte memory,2005.0,0
1144490,2372,2243,inproceedings,"Sina Meraji and
Carl Tropper",A Machine Learning Approach for Optimizing Parallel Logic Simulation,2010,inproceedings,"Bodik, Peter and Fox, Armando and Franklin, Michael J and Jordan, Michael I and Patterson, David A","Characterizing, modeling, and generating workload spikes for stateful services",2010.0,0
1145674,2377,714,inproceedings,"Punnawat Tadapak and
Thanaphon Suebchua and
Arnon Rungsawang",A Machine Learning Based Language Specific Web Site Crawler,2010,inproceedings,"Cho, Eun and Ghinita, Gabriel and Bertino, Elisa",Privacy-preserving similarity measurement for access control policies,2010.0,0
1146777,2380,1298,inproceedings,Sargur N. Srihari,Probabilistic Graphical Models and Machine Learning,2011,article,"Hinton, Geoffrey and Salakhutdinov, Ruslan",Discovering binary codes for documents by learning deep generative models,2011.0,0
1149426,2391,2979,inproceedings,"Heidi J. C. Ellis and
Steven A. Demurjian","{ADAM:} a graphical, object-oriented database-design tool and code
generator",1991,article,"Arpaci, Remzi H and Dusseau, Andrea C and Vahdat, Amin M and Liu, Lok T and Anderson, Thomas E and Patterson, David A",The interaction of parallel and sequential workloads on a network of workstations,1995.0,0
1150103,2393,3073,article,"M. Herz and
H. K. Kaindl and
A. A. Salib and
R. Warszawski","Comparative efficiency of searching abstract text in the Chemical
Abstracts Service database",1985,inproceedings,"Bairavasundaram, Lakshmi N and Rungta, Meenali and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Limiting trust in the storage stack,2006.0,0
115032,172,848,article,"Meng Wang and Chaokun Wang and Jeffrey Xu Yu and
Jun Zhang","Community Detection in Social Networks: An In-depth Benchmarking Study
with a Procedure-Oriented Framework",2015,incollection,"Xu, Shouhuai and Sandhu, Ravi and Bertino, Elisa",Tiupam: A framework for trustworthiness-centric information sharing,2009.0,0
1152650,2398,257,inproceedings,"Adrian Sandu and
Emil M. Constantinescu and
Wenyuan Liao and
Gregory R. Carmichael and
Tianfeng Chai and
John H. Seinfeld and
Dacian N. Daescu","Ensemble-Based Data Assimilation for Atmospheric Chemical Transport
Models",2005,techreport,"Culotta, Aron and McCallum, Andrew",A conditional model of deduplication for multi-type relational data,2005.0,0
1159275,2418,676,book,John G. Hughes,Object-oriented databases,1991,article,"Guerrini, E Bertino B Catania G and Montesi, D",Transaction Optimization in Rule Databases,1994.0,0
1161972,2428,1183,inproceedings,"Oliver R{\""{u}}bel and
Sean Ahern and
E. Wes Bethel and
Mark D. Biggin and
Hank Childs and
Estelle Cormier{-}Michel and
Angela H. DePace and
Michael B. Eisen and
Charless C. Fowlkes and
Cameron G. R. Geddes and
Hans Hagen and
Bernd Hamann and
Min{-}Yu Huang and
Soile V. E. Ker{\""{a}}nen and
David W. Knowles and
Cris L. Luengo Hendriks and
Jitendra Malik and
Jeremy S. Meredith and
Peter Messmer and
Prabhat","Coupling visualization and data analysis for knowledge discovery from
multi-dimensional scientific data",2010,article,"Hinton, Geoffrey E",Deterministic Boltzmann learning performs steepest descent in weight-space,1989.0,0
1164222,2431,1373,article,"Line Pouchard and
Andrew Woolf and
David E. Bernholdt",Data Grid discovery and Semantic Web technologies for the earth sciences,2005,article,"Eichmann, David and Srinivas, Kankanaha11i",Neural network-based retrieval from software reuse repositories,1992.0,0
1167605,2438,2331,article,David J. Russomanno,"Utility Network Derivation from Legacy Source Data for Feature-Based
{AM/FM} Systems",1998,article,"Wainwright, Martin J and Jordan, Michael I",Variational inference in graphical models: The view from the marginal polytope,2003.0,0
1170881,2445,1391,incollection,Geoffrey E. Hinton,Deep Belief Nets,2010,incollection,"Hinton, Geoffrey",Deep belief nets,2010.0,1
1172843,2449,2767,article,Mark D. Jackson,"Modeling of numerical atomic electron density data with analytical
functions",1993,article,"Wolf, Joel L and Dias, Daniel M and Yu, Philip S and Turek, John",New algorithms for parallelizing relational database joins in the presence of data skew,1994.0,0
117576,174,1673,article,Guimei Liu and Hongjun Lu and Jeffrey Xu Yu,"CFP-tree: {A} compact disk-based structure for storing and querying
frequent itemsets",2007,inproceedings,"Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",PBiTree coding and efficient processing of containment joins,2003.0,0
1179543,2465,373,inproceedings,"Shalini Ramanathan and
Savita Goel and
Subramanian Alagumalai",Comparison of Cloud database: Amazon's SimpleDB and Google's Bigtable,2011,article,"Singh, Sameer and Martin, Brian and McCallum, Andrew",Inducing value sparsity for parallel inference in tree-shaped models,2011.0,0
1180757,2468,340,article,"Daniele Soria and
Jonathan M. Garibaldi and
Federico Ambrogi and
Andrew R. Green and
Des Powe and
Emad Rakha and
R. Douglas Macmillan and
Roger W. Blamey and
Graham R. Ball and
Paulo J. G. Lisboa and
Terence A. Etchells and
Patrizia Boracchi and
Elia Biganzoli and
Ian O. Ellis","A methodology to identify consensus classes from clustering algorithms
applied to immunohistochemical data from breast cancer patients",2010,inproceedings,"Mccallum, Andrew and Mimno, David M and Wallach, Hanna M",Rethinking lda: why priors matter,2009.0,0
1181205,2468,2487,article,"Daniele Soria and
Jonathan M. Garibaldi and
Federico Ambrogi and
Andrew R. Green and
Des Powe and
Emad Rakha and
R. Douglas Macmillan and
Roger W. Blamey and
Graham R. Ball and
Paulo J. G. Lisboa and
Terence A. Etchells and
Patrizia Boracchi and
Elia Biganzoli and
Ian O. Ellis","A methodology to identify consensus classes from clustering algorithms
applied to immunohistochemical data from breast cancer patients",2010,inproceedings,"Wu, Kun-Lung and Hildrum, Kirsten W and Fan, Wei and Yu, Philip S and Aggarwal, Charu C and George, David A and Gedik, Buǧra and Bouillet, Eric and Gu, Xiaohui and Luo, Gang and others",Challenges and experience in prototyping a multi-modal stream analytic and monitoring application on System S,2007.0,0
1184990,2480,3024,article,"R. Dunn and
A. R. Harrison and
J. C. White","Positional accuracy and measurement error in digital databases of
land use: an empirical study",1990,inproceedings,"Saxena, Mohit and Zhang, Yiying and Swift, Michael M and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Getting real: lessons in transitioning research simulations into hardware systems.,2013.0,0
1185564,2482,2634,article,"Gordon H. Wood and
John R. Rodgers and
S. Roger Gough","Operation of an international data center: Canadian Scientific Numeric
Database Service",1993,article,"Yu, Philip S and Dias, Daniel M and Robinson, John T and Iyer, Balakrishna R and Cornell, Douglas W",On coupling multi-systems through data sharing,1987.0,0
1188350,2491,388,incollection,,Frequent Set,2010,article,"Ni, Qun and Bertino, Elisa and Lobo, Jorge and Brodie, Carolyn and Karat, Clare-Marie and Karat, John and Trombeta, Alberto",Privacy-aware role-based access control,2010.0,0
120212,176,1812,inproceedings,"Bolin Ding and
Jeffrey Xu Yu and Shan Wang and Lu Qin and Xiao Zhang and Xuemin Lin",Finding Top-k Min-Cost Connected Trees in Databases,2007,misc,"Gui-mei, Liu and Hong-jun, Lu and Yu, JX and others",AFOPT: an efficient implementation of pattern growth approach,,0
121321,177,1642,inproceedings,"James Cheng and
Yiping Ke and Wilfred Ng and Jeffrey Xu Yu",Context-Aware Object Connection Discovery in Large Graphs,2009,inproceedings,"Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",Context-aware object connection discovery in large graphs,2009.0,1
12164,44,1765,incollection,,Bias-Variance-Covariance Decomposition,2010,incollection,"Ke, Yiping and Cheng, James and Yu, Jeffrey Xu",Querying large graph databases,2010.0,0
1217185,2594,1204,article,"Pinar Donmez and
Guy Lebanon and
Krishnakumar Balasubramanian","Unsupervised Supervised Learning {I:} Estimating Classification and
Regression Errors without Labels",2010,inproceedings,"Nair, Vinod and Hinton, Geoffrey E",Rectified linear units improve restricted boltzmann machines,2010.0,0
1221104,2611,799,proceedings,,"Proceedings of the 2nd Asian Conference on Machine Learning, {ACML}
2010, Tokyo, Japan, November 8-10, 2010",2010,article,"Armani, B and Catania, B and Bertino, E and Laradi, D and Marin, B and Zarri, Gian Piero",Repository management in an intelligent indexing approach for multimedia digital libraries,2010.0,0
1225128,2627,1434,article,J. H. Westbrook,"Problems in the computerization of chemical information: capture of
tabular and graphical data",1993,article,"Adel, Tameem and Smith, Benn and Urner, Ruth and Stashuk, Daniel and Lizotte, Daniel J",Generative multiple-instance learning models for quantitative electromyography,2013.0,0
122580,178,1689,article,"Hong{-}Cheu Liu and
Jeffrey Xu Yu",Algebraic equivalences of nested relational operators,2005,inproceedings,"Chen, Qiuxia and Chen, Lei and Lian, Xiang and Liu, Yunhao and Yu, Jeffrey Xu",Indexable PLA for efficient similarity search,2007.0,0
122610,178,1719,article,"Hong{-}Cheu Liu and
Jeffrey Xu Yu",Algebraic equivalences of nested relational operators,2005,article,"Liu, Hong-Cheu and Jeffrey, X Yu",Algebraic equivalences of nested relational operators,2005.0,1
1229559,2641,1785,article,"Robert C. Schweitzer and
Jeffrey B. Morris","Improved Quantitative Structure Property Relationships for the Prediction
of Dielectric Constants for a Set of Diverse Compounds by Subsetting
of the Data Set",2000,article,"Wong, Kam-Fai and Yu, Jeffrey Xu and Tang, Nan",Answering XML queries using path-based indexes: a survey,2006.0,0
1230491,2644,1821,inproceedings,"Riyad Alshammari and
A. Nur Zincir{-}Heywood","Is machine learning losing the battle to produce transportable signatures
against VoIP traffic?",2011,inproceedings,"Han, Wook-Shin and Pham, Minh-Duc and Lee, Jinsoo and Kasperovics, Romans and Yu, Jeffrey Xu",iGraph in action: performance analysis of disk-based graph indexing techniques,2011.0,0
1237004,2665,808,inproceedings,"Jue Xie and
Frada Burstein","Using Machine Learning to Support Resource Quality Assessment: An
Adaptive Attribute-Based Approach for Health Information Portals",2011,inproceedings,"Ni, Qun and Bertino, Elisa",xfACL: An extensible functional language for access control,2011.0,0
1239595,2669,801,incollection,"Evgueni N. Smirnov and
Matthijs Moed and
Georgi I. Nalbantov and
Ida G. Sprinkhuizen{-}Kuyper",Minimally-Sized Balanced Decomposition Schemes for Multi-class Classification,2011,article,"Cuzzocrea, Alfredo and Bertino, Elisa",Privacy preserving olap over distributed xml data: A theoretically-sound secure-multiparty-computation approach,2011.0,0
1239653,2669,1451,incollection,"Evgueni N. Smirnov and
Matthijs Moed and
Georgi I. Nalbantov and
Ida G. Sprinkhuizen{-}Kuyper",Minimally-Sized Balanced Decomposition Schemes for Multi-class Classification,2011,article,"Rasmussen, CE and Neal, RM and Hinton, G and van Camp, D and Revow, M and Ghahramani, Z and Kustra, R and Tibshirani, R","Delve data for evaluating learning in valid experiments, 1995--1996",,0
